#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -29.076    177.870     95.347
      0.100   -101.112   -101.808   -117.788    -21.968    185.767    104.090
      0.200   -102.860    -82.825   -106.885    -12.988    193.894    113.981
      0.300   -103.585    -63.031    -94.926     -1.520    201.992    125.191
      0.400   -102.998    -42.455    -81.775     13.265    209.534    137.834
      0.500   -100.715    -21.203    -67.291     32.404    215.499    151.831
      0.600    -96.248      0.475    -51.370     56.932    218.052    166.593
      0.700    -89.044     22.093    -34.016     87.147    214.320    180.486
      0.800    -78.635     42.865    -15.470    121.037    201.104    190.432
      0.900    -64.924     61.797      3.698    153.170    177.551    192.938
      1.000    -48.399     78.053     22.705    177.346    147.563    187.196
      1.100    -29.966     91.292     40.853    191.314    117.212    175.764
      1.200    -10.555    101.672     57.743    196.899     90.402    162.043
      1.300      9.141    109.603     73.259    197.021     68.214    148.273
      1.400     28.692    115.528     87.446    193.991     50.278    135.464
      1.500     47.855    119.833    100.415    189.280     35.819    123.919
      1.600     66.506    122.828    112.293    183.745     24.087    113.633
      1.700     84.587    124.756    123.198    177.872     14.468    104.484
      1.800    102.077    125.804    133.239    171.931      6.496     96.325
      1.900    118.977    126.120    142.506    166.069     -0.184     89.013
      2.000    135.299    125.819    151.078    160.363     -5.838     82.426
      2.100    151.060    124.993    159.022    154.850    -10.667     76.456
      2.200    166.279    123.719    166.395    149.545    -14.825     71.016
      2.300    180.979    122.056    173.248    144.450    -18.432     66.032
      2.400    195.180    120.055    179.622    139.560    -21.580     61.444
      2.500    208.901    117.759    185.554    134.865    -24.344     57.201
      2.600    222.162    115.203    191.077    130.354    -26.783     53.260
      2.700    234.980    112.416    196.219    126.016    -28.943     49.585
      2.800    247.373    109.426    201.006    121.840    -30.865     46.145
      2.900    259.356    106.254    205.459    117.814    -32.579     42.915
      3.000    270.943    102.919    209.598    113.927    -34.113     39.873
      3.100    282.148     99.439    213.442    110.170    -35.488     36.999
      3.200    292.983     95.829    217.006    106.533    -36.724     34.277
      3.300    303.460     92.101    220.304    103.008    -37.835     31.692
